index,source_unit,T,n_patterns,split
0,NASA_B0043,16,0,validation
1,NASA_B0043,16,0,train
2,NASA_B0043,16,0,train
3,NASA_B0030,33,0,test
4,NASA_B0005,74,0,test
5,NASA_B0030,33,0,train
6,NASA_B0043,16,0,train
7,NASA_B0040,35,2,validation
8,NASA_B0043,16,0,train
9,NASA_B0018,63,1,train
10,NASA_B0005,74,2,validation
11,NASA_B0036,198,3,test
12,NASA_B0018,63,0,train
13,NASA_B0036,198,2,train
14,NASA_B0040,35,2,train
15,NASA_B0043,16,0,test
16,NASA_B0018,63,1,train
17,NASA_B0018,63,3,test
18,NASA_B0007,83,0,train
19,NASA_B0040,35,1,train
20,NASA_B0006,66,0,train
21,NASA_B0040,35,3,train
22,NASA_B0007,83,0,train
23,NASA_B0036,198,2,train
24,NASA_B0018,63,1,test
25,NASA_B0005,74,0,train
26,NASA_B0007,83,0,test
27,NASA_B0007,83,0,train
28,NASA_B0043,16,0,train
29,NASA_B0030,33,0,train
30,NASA_B0018,63,1,train
31,NASA_B0040,35,1,train
32,NASA_B0007,83,0,train
33,NASA_B0036,198,5,train
34,NASA_B0043,16,0,train
35,NASA_B0005,74,1,test
36,NASA_B0007,83,0,test
37,NASA_B0018,63,0,train
38,NASA_B0036,198,2,train
39,NASA_B0040,35,1,train
40,NASA_B0030,33,0,train
41,NASA_B0043,16,0,train
42,NASA_B0007,83,0,test
43,NASA_B0036,198,5,train
44,NASA_B0018,63,1,validation
45,NASA_B0040,35,0,validation
46,NASA_B0006,66,0,train
47,NASA_B0006,66,0,train
48,NASA_B0030,33,0,validation
49,NASA_B0007,83,0,train
50,NASA_B0005,74,3,train
51,NASA_B0043,16,0,train
52,NASA_B0030,33,0,validation
53,NASA_B0043,16,0,train
54,NASA_B0043,16,0,train
55,NASA_B0040,35,0,validation
56,NASA_B0018,63,1,validation
57,NASA_B0030,33,0,train
58,NASA_B0007,83,0,test
59,NASA_B0007,83,0,test
60,NASA_B0005,74,4,validation
61,NASA_B0005,74,1,validation
62,NASA_B0006,66,1,train
63,NASA_B0007,83,0,train
64,NASA_B0030,33,0,train
65,NASA_B0006,66,0,train
66,NASA_B0005,74,1,train
67,NASA_B0030,33,0,train
68,NASA_B0036,198,2,train
69,NASA_B0005,74,1,train
70,NASA_B0043,16,0,train
71,NASA_B0040,35,0,test
72,NASA_B0030,33,0,train
73,NASA_B0006,66,2,test
74,NASA_B0030,33,0,train
75,NASA_B0007,83,0,train
76,NASA_B0005,74,0,train
77,NASA_B0005,74,2,train
78,NASA_B0040,35,1,validation
79,NASA_B0036,198,2,validation
80,NASA_B0036,198,4,validation
81,NASA_B0036,198,3,train
82,NASA_B0005,74,0,validation
83,NASA_B0043,16,0,test
84,NASA_B0030,33,0,test
85,NASA_B0018,63,0,train
86,NASA_B0036,198,3,train
87,NASA_B0030,33,0,train
88,NASA_B0018,63,1,train
89,NASA_B0005,74,1,train
90,NASA_B0018,63,1,train
91,NASA_B0043,16,0,test
92,NASA_B0006,66,3,validation
93,NASA_B0030,33,0,train
94,NASA_B0036,198,1,train
95,NASA_B0007,83,0,train
96,NASA_B0036,198,2,test
97,NASA_B0043,16,0,test
98,NASA_B0007,83,0,validation
99,NASA_B0036,198,2,train
100,NASA_B0036,198,1,train
101,NASA_B0018,63,0,train
102,NASA_B0043,16,0,train
103,NASA_B0036,198,1,validation
104,NASA_B0030,33,0,train
105,NASA_B0036,198,2,train
106,NASA_B0007,83,0,train
107,NASA_B0006,66,1,test
108,NASA_B0007,83,0,train
109,NASA_B0006,66,3,train
110,NASA_B0007,83,0,validation
111,NASA_B0043,16,0,validation
112,NASA_B0018,63,0,train
113,NASA_B0040,35,4,train
114,NASA_B0040,35,0,train
115,NASA_B0040,35,2,train
116,NASA_B0018,63,4,train
117,NASA_B0006,66,1,train
118,NASA_B0007,83,0,train
119,NASA_B0018,63,0,train
120,NASA_B0006,66,0,train
121,NASA_B0007,83,0,train
122,NASA_B0005,74,1,train
123,NASA_B0006,66,2,train
124,NASA_B0030,33,0,train
125,NASA_B0036,198,3,test
126,NASA_B0036,198,2,validation
127,NASA_B0018,63,0,validation
128,NASA_B0036,198,1,train
129,NASA_B0006,66,2,train
130,NASA_B0006,66,1,train
131,NASA_B0043,16,0,validation
132,NASA_B0018,63,0,train
133,NASA_B0030,33,0,train
134,NASA_B0036,198,5,train
135,NASA_B0043,16,0,train
136,NASA_B0030,33,0,train
137,NASA_B0036,198,1,test
138,NASA_B0043,16,0,test
139,NASA_B0005,74,2,train
140,NASA_B0006,66,1,train
141,NASA_B0005,74,2,train
142,NASA_B0030,33,0,train
143,NASA_B0043,16,0,train
144,NASA_B0007,83,0,train
145,NASA_B0007,83,0,train
146,NASA_B0007,83,0,train
147,NASA_B0030,33,0,test
148,NASA_B0006,66,2,train
149,NASA_B0005,74,2,test
150,NASA_B0030,33,0,train
151,NASA_B0030,33,0,train
152,NASA_B0007,83,0,train
153,NASA_B0018,63,0,train
154,NASA_B0007,83,0,train
155,NASA_B0036,198,1,train
156,NASA_B0043,16,0,train
157,NASA_B0006,66,0,validation
158,NASA_B0030,33,0,train
159,NASA_B0006,66,1,validation
160,NASA_B0007,83,0,train
161,NASA_B0006,66,2,test
162,NASA_B0043,16,0,test
163,NASA_B0030,33,0,train
164,NASA_B0007,83,0,test
165,NASA_B0018,63,0,train
166,NASA_B0043,16,0,train
167,NASA_B0036,198,0,train
168,NASA_B0005,74,0,train
169,NASA_B0006,66,0,validation
170,NASA_B0040,35,7,train
171,NASA_B0036,198,2,train
172,NASA_B0005,74,1,train
173,NASA_B0040,35,1,train
174,NASA_B0036,198,2,train
175,NASA_B0007,83,0,train
176,NASA_B0030,33,0,test
177,NASA_B0005,74,0,train
178,NASA_B0036,198,6,test
179,NASA_B0018,63,0,validation
180,NASA_B0018,63,0,test
181,NASA_B0005,74,1,train
182,NASA_B0006,66,1,train
183,NASA_B0040,35,3,train
184,NASA_B0030,33,0,train
185,NASA_B0030,33,0,train
186,NASA_B0007,83,0,train
187,NASA_B0043,16,0,train
188,NASA_B0030,33,0,train
189,NASA_B0018,63,0,train
190,NASA_B0030,33,0,validation
191,NASA_B0018,63,0,train
192,NASA_B0043,16,0,train
193,NASA_B0007,83,0,train
194,NASA_B0006,66,1,train
195,NASA_B0007,83,0,validation
196,NASA_B0018,63,1,validation
197,NASA_B0018,63,0,train
198,NASA_B0030,33,0,train
199,NASA_B0018,63,0,train
200,NASA_B0005,74,1,train
201,NASA_B0040,35,0,train
202,NASA_B0007,83,0,train
203,NASA_B0006,66,0,train
204,NASA_B0005,74,1,train
205,NASA_B0018,63,2,train
206,NASA_B0005,74,0,validation
207,NASA_B0040,35,4,train
208,NASA_B0018,63,0,train
209,NASA_B0040,35,3,train
210,NASA_B0005,74,2,train
211,NASA_B0018,63,0,train
212,NASA_B0006,66,2,train
