index,source_unit,T,n_patterns,split
0,NASA_B0040,35,3,train
1,NASA_B0040,35,2,validation
2,NASA_B0040,35,1,validation
3,NASA_B0036,198,2,train
4,NASA_B0018,63,1,train
5,NASA_B0006,66,0,validation
6,NASA_B0018,63,2,train
7,NASA_B0006,66,2,test
8,NASA_B0007,83,0,train
9,NASA_B0006,66,0,train
10,NASA_B0030,33,0,train
11,NASA_B0018,63,0,validation
12,NASA_B0006,66,3,test
13,NASA_B0018,63,1,train
14,NASA_B0006,66,2,train
15,NASA_B0043,16,0,validation
16,NASA_B0018,63,0,train
17,NASA_B0043,16,0,train
18,NASA_B0036,198,1,test
19,NASA_B0030,33,0,validation
20,NASA_B0007,83,0,train
21,NASA_B0043,16,0,test
22,NASA_B0036,198,7,train
23,NASA_B0007,83,0,train
24,NASA_B0030,33,0,train
25,NASA_B0043,16,0,train
26,NASA_B0030,33,0,train
27,NASA_B0007,83,0,train
28,NASA_B0030,33,0,train
29,NASA_B0005,74,0,train
30,NASA_B0005,74,0,validation
31,NASA_B0036,198,1,train
32,NASA_B0040,35,2,test
33,NASA_B0030,33,0,train
34,NASA_B0040,35,2,train
35,NASA_B0005,74,0,validation
36,NASA_B0005,74,0,train
37,NASA_B0043,16,0,test
38,NASA_B0006,66,0,test
39,NASA_B0036,198,1,train
40,NASA_B0005,74,0,validation
41,NASA_B0036,198,1,train
42,NASA_B0006,66,2,train
43,NASA_B0006,66,1,train
44,NASA_B0040,35,2,validation
45,NASA_B0043,16,0,validation
46,NASA_B0040,35,1,train
47,NASA_B0018,63,1,train
48,NASA_B0018,63,1,validation
49,NASA_B0040,35,2,train
50,NASA_B0043,16,0,train
51,NASA_B0030,33,0,train
52,NASA_B0005,74,1,train
53,NASA_B0043,16,0,train
54,NASA_B0007,83,0,train
55,NASA_B0005,74,3,train
56,NASA_B0005,74,1,test
57,NASA_B0006,66,0,validation
58,NASA_B0040,35,3,train
59,NASA_B0007,83,0,train
60,NASA_B0018,63,3,train
61,NASA_B0036,198,6,test
62,NASA_B0018,63,0,train
63,NASA_B0043,16,0,train
64,NASA_B0006,66,1,train
65,NASA_B0036,198,0,validation
66,NASA_B0007,83,0,test
67,NASA_B0030,33,0,train
68,NASA_B0007,83,0,train
69,NASA_B0036,198,3,test
70,NASA_B0007,83,0,train
