index,source_unit,T,n_patterns,split
0,MATR_b3c45,1789,0,train
1,MATR_b1c31,869,0,train
2,MATR_b1c27,838,0,train
3,MATR_b1c34,736,0,validation
4,MATR_b2c41,427,0,train
5,MATR_b1c18,682,0,train
6,MATR_b3c28,542,0,validation
7,MATR_b1c32,723,0,train
8,MATR_b1c21,560,0,train
9,MATR_b3c31,727,0,train
10,MATR_b1c4,1696,0,train
11,MATR_b2c47,713,0,test
12,MATR_b3c2,1251,0,validation
13,MATR_b1c5,1069,0,train
14,MATR_b2c32,515,0,validation
15,MATR_b1c19,780,0,test
16,MATR_b3c6,668,0,train
17,MATR_b3c12,928,0,train
18,MATR_b2c20,498,0,train
19,MATR_b2c6,508,0,validation
20,MATR_b1c37,643,0,train
21,MATR_b3c27,845,0,train
22,MATR_b3c42,1636,0,train
23,MATR_b2c47,713,0,test
24,MATR_b2c27,466,0,test
25,MATR_b1c27,838,0,validation
26,MATR_b3c34,1146,0,train
27,MATR_b3c45,1789,0,validation
28,MATR_b2c27,466,0,train
29,MATR_b1c25,848,0,test
30,MATR_b3c17,1303,0,train
31,MATR_b1c35,696,0,train
32,MATR_b1c43,644,0,test
33,MATR_b2c19,461,0,test
34,MATR_b1c23,1011,0,test
35,MATR_b2c6,508,0,train
36,MATR_b2c28,506,0,train
37,MATR_b2c41,427,0,validation
38,MATR_b3c22,1001,0,train
39,MATR_b3c44,938,0,test
40,MATR_b3c34,1146,0,validation
41,MATR_b1c42,693,0,train
42,MATR_b1c9,1052,0,train
43,MATR_b1c33,748,0,test
44,MATR_b3c17,1303,0,train
45,MATR_b3c29,855,0,train
46,MATR_b1c21,560,0,test
47,MATR_b3c24,823,0,train
48,MATR_b1c28,851,0,train
49,MATR_b1c32,723,0,test
50,MATR_b3c28,542,0,train
51,MATR_b1c43,644,0,train
52,MATR_b3c42,1636,0,train
53,MATR_b2c35,461,0,validation
54,MATR_b3c31,727,0,train
55,MATR_b3c30,932,0,train
56,MATR_b2c18,484,0,train
57,MATR_b1c35,696,0,train
58,MATR_b1c28,851,0,train
59,MATR_b3c4,1039,0,train
60,MATR_b1c35,696,0,test
61,MATR_b3c8,825,0,train
62,MATR_b1c11,781,0,train
63,MATR_b3c16,1623,0,validation
64,MATR_b1c32,723,0,train
65,MATR_b3c13,815,0,train
66,MATR_b3c18,1132,0,test
67,MATR_b3c13,815,0,train
68,MATR_b1c20,536,0,train
69,MATR_b3c7,1826,0,train
70,MATR_b3c42,1636,0,train
71,MATR_b3c29,855,0,test
72,MATR_b1c9,1052,0,train
73,MATR_b2c11,478,0,train
74,MATR_b3c35,1083,0,train
75,MATR_b3c31,727,0,train
76,MATR_b1c9,1052,0,train
77,MATR_b2c27,466,0,train
78,MATR_b2c11,478,0,validation
79,MATR_b3c13,815,0,train
80,MATR_b1c42,693,0,train
81,MATR_b2c30,479,0,train
82,MATR_b3c35,1083,0,train
83,MATR_b2c37,474,0,test
84,MATR_b1c39,617,0,train
85,MATR_b3c39,1152,0,validation
86,MATR_b3c42,1636,0,train
87,MATR_b1c40,963,0,train
88,MATR_b1c9,1052,0,train
89,MATR_b3c7,1826,0,train
90,MATR_b3c6,668,0,train
91,MATR_b2c44,453,0,train
92,MATR_b3c22,1001,0,train
93,MATR_b1c32,723,0,validation
94,MATR_b3c38,1928,0,train
95,MATR_b2c21,489,0,train
96,MATR_b2c6,508,0,train
97,MATR_b3c6,668,0,train
98,MATR_b1c21,560,0,test
99,MATR_b1c39,617,0,train
100,MATR_b1c28,851,0,train
101,MATR_b1c40,963,0,train
102,MATR_b2c21,489,0,train
103,MATR_b3c16,1623,0,validation
104,MATR_b2c17,491,0,test
105,MATR_b2c22,509,0,train
106,MATR_b3c3,1106,0,train
107,MATR_b3c5,825,0,train
108,MATR_b1c21,560,0,test
109,MATR_b2c10,559,0,train
110,MATR_b1c9,1052,0,train
111,MATR_b1c5,1069,0,train
112,MATR_b2c10,559,0,validation
113,MATR_b1c21,560,0,train
114,MATR_b3c42,1636,0,train
115,MATR_b2c37,474,0,train
116,MATR_b1c1,2153,0,train
117,MATR_b1c39,617,0,validation
118,MATR_b2c6,508,0,validation
119,MATR_b2c39,456,0,test
120,MATR_b3c43,1040,0,test
121,MATR_b3c7,1826,0,train
122,MATR_b1c37,643,0,train
123,MATR_b3c38,1928,0,train
124,MATR_b1c21,560,0,validation
125,MATR_b2c35,461,0,train
126,MATR_b3c22,1001,0,train
127,MATR_b2c32,515,0,train
128,MATR_b1c31,869,0,train
129,MATR_b3c2,1251,0,train
130,MATR_b1c29,909,0,train
131,MATR_b1c32,723,0,train
132,MATR_b3c4,1039,0,validation
133,MATR_b1c9,1052,0,train
134,MATR_b3c3,1106,0,train
135,MATR_b1c32,723,0,validation
136,MATR_b1c30,702,0,validation
137,MATR_b3c5,825,0,train
138,MATR_b3c7,1826,0,train
139,MATR_b2c45,484,0,train
140,MATR_b3c6,668,0,train
141,MATR_b1c21,560,0,test
142,MATR_b3c8,825,0,test
143,MATR_b3c10,1067,0,validation
144,MATR_b2c28,506,0,train
145,MATR_b2c34,495,0,train
146,MATR_b3c6,668,0,validation
147,MATR_b3c10,1067,0,train
148,MATR_b2c25,460,0,test
149,MATR_b3c16,1623,0,test
150,MATR_b2c27,466,0,validation
151,MATR_b2c42,461,0,train
