index,source_unit,T,n_patterns,split
0,HUST_1-2,2660,0,train
1,HUST_3-1,1933,0,train
2,HUST_8-8,1680,0,train
3,HUST_6-2,1912,0,validation
4,HUST_5-2,1923,0,test
5,HUST_3-8,2344,0,test
6,HUST_2-2,2663,0,train
7,HUST_5-1,2497,0,train
8,HUST_7-4,1391,0,test
9,HUST_10-4,1807,0,train
10,HUST_9-2,2147,0,validation
11,HUST_2-5,1387,0,validation
12,HUST_3-1,1933,0,train
13,HUST_5-5,1585,0,train
14,HUST_10-2,1696,0,train
15,HUST_7-1,1695,0,validation
16,HUST_3-3,1648,0,train
17,HUST_5-1,2497,0,train
18,HUST_4-8,1702,0,test
19,HUST_6-8,2441,0,test
20,HUST_5-1,2497,0,train
21,HUST_3-7,2461,0,validation
22,HUST_8-5,1345,0,train
23,HUST_5-2,1923,0,train
24,HUST_2-5,1387,0,train
25,HUST_8-8,1680,0,train
26,HUST_10-4,1807,0,train
27,HUST_10-4,1807,0,train
28,HUST_3-1,1933,0,train
29,HUST_5-1,2497,0,train
30,HUST_6-8,2441,0,train
31,HUST_10-4,1807,0,train
32,HUST_4-3,1146,0,test
33,HUST_3-5,2638,0,validation
34,HUST_10-2,1696,0,train
35,HUST_4-3,1146,0,validation
36,HUST_5-2,1923,0,train
37,HUST_7-5,1876,0,train
38,HUST_6-1,1602,0,train
39,HUST_8-2,2035,0,test
40,HUST_2-8,1475,0,validation
41,HUST_5-1,2497,0,train
42,HUST_3-8,2344,0,test
43,HUST_5-2,1923,0,train
44,HUST_4-4,1493,0,train
45,HUST_3-2,2284,0,train
46,HUST_6-1,1602,0,train
47,HUST_2-4,1499,0,validation
48,HUST_5-3,2686,0,train
49,HUST_10-7,1785,0,train
50,HUST_2-2,2663,0,train
51,HUST_8-4,1881,0,validation
52,HUST_10-4,1807,0,validation
53,HUST_6-1,1602,0,train
54,HUST_1-6,1143,0,train
55,HUST_2-4,1499,0,validation
56,HUST_8-2,2035,0,train
57,HUST_9-2,2147,0,validation
58,HUST_8-5,1345,0,train
59,HUST_4-8,1702,0,validation
60,HUST_9-7,2009,0,test
61,HUST_6-8,2441,0,train
62,HUST_9-4,1973,0,test
63,HUST_3-5,2638,0,train
64,HUST_4-2,1781,0,train
65,HUST_10-1,1699,0,train
66,HUST_7-7,1685,0,train
67,HUST_6-8,2441,0,train
68,HUST_10-1,1699,0,train
69,HUST_9-4,1973,0,train
70,HUST_6-5,2178,0,train
71,HUST_7-4,1391,0,train
72,HUST_3-7,2461,0,train
73,HUST_5-2,1923,0,train
74,HUST_6-8,2441,0,train
75,HUST_2-5,1387,0,train
76,HUST_5-5,1585,0,test
77,HUST_5-2,1923,0,train
78,HUST_10-5,2029,0,train
79,HUST_7-1,1695,0,train
80,HUST_7-4,1391,0,train
81,HUST_3-5,2638,0,validation
82,HUST_1-2,2660,0,train
83,HUST_7-5,1876,0,train
84,HUST_3-5,2638,0,train
85,HUST_3-4,1781,0,train
86,HUST_3-3,1648,0,train
87,HUST_5-3,2686,0,train
88,HUST_8-3,2292,0,train
89,HUST_2-8,1475,0,test
90,HUST_2-3,1741,0,train
91,HUST_10-3,1855,0,train
92,HUST_9-4,1973,0,train
93,HUST_6-2,1912,0,train
94,HUST_2-4,1499,0,train
95,HUST_7-6,1422,0,train
96,HUST_2-8,1475,0,train
97,HUST_1-2,2660,0,train
98,HUST_6-2,1912,0,validation
99,HUST_8-4,1881,0,train
100,HUST_8-5,1345,0,train
101,HUST_8-7,2032,0,train
102,HUST_8-4,1881,0,validation
103,HUST_10-2,1696,0,train
104,HUST_4-1,2221,0,train
105,HUST_7-1,1695,0,train
106,HUST_6-8,2441,0,test
107,HUST_7-5,1876,0,train
108,HUST_2-3,1741,0,test
109,HUST_5-5,1585,0,train
110,HUST_6-8,2441,0,train
111,HUST_6-5,2178,0,train
112,HUST_3-1,1933,0,validation
113,HUST_5-4,1948,0,validation
114,HUST_5-4,1948,0,validation
115,HUST_9-3,1903,0,train
116,HUST_8-2,2035,0,train
117,HUST_1-1,1502,0,validation
118,HUST_9-5,2172,0,train
119,HUST_2-2,2663,0,train
120,HUST_2-8,1475,0,train
121,HUST_8-8,1680,0,train
122,HUST_3-2,2284,0,train
123,HUST_1-7,1674,0,train
124,HUST_4-4,1493,0,train
